commit_hash,author,date,message,files_changed,lines_added,lines_deleted,commit_size,message_length,risk
33850c0ebd23ae615e6823993d441f46d80b1ff0,4,2010-04-06 11:12:57+00:00,Initial checkin of stuff that exists so far.,15,984,0,984,44,0
b15ad394279fc3b7f998fa56857f334a7c0156f6,4,2010-04-06 11:23:18+00:00,Added setup.py and README,2,36,0,36,25,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,4,2010-04-06 14:02:14+00:00,"Started working on documentation.

So far just the stable parts :)",9,641,9,650,66,0
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,4,2010-04-06 14:16:34+00:00,Added a README file for MiniTwit.,1,21,0,21,33,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,4,2010-04-08 17:03:15+00:00,"Improved documentation, added a contextmanager for request binding",4,198,28,226,66,0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,4,2010-04-08 23:32:39+00:00,Updated documentation.  Starting to look pretty good,6,359,4,363,52,0
625eba4bb403296a8bbc1e72cc9cf4a5126f6c02,4,2010-04-09 10:49:01+00:00,Heavily improved quickstart section.,1,224,0,224,36,0
4edec48b74dbb9d571e927b69b24c30ec0624975,4,2010-04-09 11:13:39+00:00,Added installation docs,1,98,1,99,23,0
727c701686c18c4a27ca523eb0c5862d497be24e,4,2010-04-09 11:40:05+00:00,And finished documentation for most parts.,5,199,4,203,42,0
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,4,2010-04-09 11:46:12+00:00,Flashing -> patterns documentation,2,86,68,154,34,0
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,4,2010-04-09 11:56:47+00:00,Documented non-decorator uses of registation.,1,31,5,36,45,0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,4,2010-04-10 13:49:15+00:00,"Added docs, fixed some bugs I introduced last commit",13,808,10,818,52,1
9dfab582d065521e9350327801ed2c5ced1c8fa1,4,2010-04-10 14:00:13+00:00,Updated README,1,14,1,15,14,0
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,4,2010-04-10 14:01:14+00:00,Fixed a typo,1,1,1,2,12,1
4e1b3e1134eb478563bc434d794085d0a412cb84,4,2010-04-10 15:26:49+00:00,set secret key :),1,3,0,3,17,0
05f36c7f7e2df36ee28f90d99632162579b1287c,4,2010-04-11 00:20:10+00:00,Heavily improved documentation,10,486,44,530,30,0
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,4,2010-04-11 00:42:13+00:00,Fixed a doc display bug and setup.py workaround for dev version.,3,10,8,18,64,1
574e81f9c8bbdc41958e1e7a7613633b091101f8,4,2010-04-11 00:46:44+00:00,Fixed a bug in setup.py,2,5,2,7,23,1
df929c6c77ea5490a969275e45075c29711a498c,4,2010-04-11 00:58:13+00:00,further improved documentation,1,24,0,24,30,0
8171da88a49eba769d313a51591ee8575be59762,4,2010-04-11 01:16:42+00:00,Described HTTP methods,1,57,0,57,22,0
85ca089dde8814c4a42ad4574cddce25d60e5e25,4,2010-04-11 01:18:36+00:00,might -> must,1,3,2,5,13,0
4e7aa9e7f7a86ee0ea4b6801694c13151518cb52,4,2010-04-11 01:22:26+00:00,Linked HTTP,1,11,8,19,11,0
4671429a509094f36e2294055340197091d39979,4,2010-04-11 01:41:01+00:00,"Added a security section to the foreword and a footnote to the g
variable",4,48,3,51,73,0
